excel_row_1_based,name,scholar_profile_id_excel,profile_url,local_match_count,local_profile_id,local_name,has_profile_json,has_chunks,all_local_profile_ids
5760,,nan,https://optometry.osu.edu/directory/faculty/roanne-flom,1,b428e9b1-8c3e-4e3a-978d-5893c2bd8833,Roanne Flom,True,False,b428e9b1-8c3e-4e3a-978d-5893c2bd8833
5766,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/robert-a-baiocchi,0,,,False,False,
5768,,nan,https://wexnermedical.osu.edu/find-a-doctor/robert-cooper-md-39465,1,aa068746-373e-4c85-b0af-35cfa822fb0b,Robert Cooper,True,False,aa068746-373e-4c85-b0af-35cfa822fb0b
5775,,nan,https://wexnermedical.osu.edu/find-a-doctor/robert-gotfried-do-16659,1,711bbad9-a675-4079-bd25-0762f35e762a,Robert Gotfried,True,False,711bbad9-a675-4079-bd25-0762f35e762a
5779,,nan,https://dentistry.osu.edu/faculty/robert-j-davidson-dds,1,e97f5494-8cc3-4505-aea6-d9b0f2ff3406,Robert J. Davidson,True,False,e97f5494-8cc3-4505-aea6-d9b0f2ff3406
5780,,nan,https://dentistry.osu.edu/faculty/robert-j-uhlin-dds,1,8577d601-221e-49a8-862d-6b648adc3f31,Robert J. Uhlin,True,False,8577d601-221e-49a8-862d-6b648adc3f31
5788,,nan,https://wexnermedical.osu.edu/find-a-doctor/robert-magnussen-md-43916,1,2aafd136-0e1d-46f5-8e5a-eef07e397c2c,Robert Magnussen,True,False,2aafd136-0e1d-46f5-8e5a-eef07e397c2c
5791,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/robert-e-merritt,0,,,False,False,
5792,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/robert-t-neff,0,,,False,False,
5794,,nan,https://dentistry.osu.edu/faculty/robert-r-seghi-dds-ms,1,90e0b0a2-75ee-40ce-8b3f-92160d9514a4,Robert R. Seghi,True,False,90e0b0a2-75ee-40ce-8b3f-92160d9514a4
5797,,nan,https://wexnermedical.osu.edu/find-a-doctor/robert-robinson-md-61431,1,837be7e3-426b-42bb-abdc-1b5d5075e00b,Robert Robinson,True,False,837be7e3-426b-42bb-abdc-1b5d5075e00b
5800,,nan,https://wexnermedical.osu.edu/find-a-doctor/robert-schroell-md-90172,1,3c1fa333-29bd-4f87-b9fa-cfe688da5952,Robert Schroell,True,False,3c1fa333-29bd-4f87-b9fa-cfe688da5952
5801,,nan,https://vet.osu.edu/people/robert-sherding,1,84ca3c74-2e18-4fc7-9375-590439528336,Robert Sherding,True,False,84ca3c74-2e18-4fc7-9375-590439528336
5802,,nan,https://mae.osu.edu/people/siston.1,1,ee4d7093-95da-4b16-ab7b-f1dee71b0083,Robert Siston,True,False,ee4d7093-95da-4b16-ab7b-f1dee71b0083
5803,,nan,https://wexnermedical.osu.edu/find-a-doctor/robert-small-md-3163,1,e587d77c-a111-4faf-9e71-a8d0fe7a5c02,Robert Small,True,False,e587d77c-a111-4faf-9e71-a8d0fe7a5c02
5805,,nan,https://dentistry.osu.edu/faculty/robert-w-gardner-dds,1,d47dbd6c-2b16-43de-ad60-7373fc5a370a,Robert W. Gardner,True,False,d47dbd6c-2b16-43de-ad60-7373fc5a370a
5806,,nan,https://fisher.osu.edu/people/walker.30,0,,,False,False,
5807,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/robert-wesolowski,0,,,False,False,
5808,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/roberta-c-azbell,0,,,False,False,
5811,,nan,https://medicine.osu.edu/find-faculty/clinical/family-medicine/robin-berner-md,0,,,False,False,
5812,,nan,na,0,,,False,False,
5813,,nan,https://glenn.osu.edu/robin-engel,1,6f51fb8d-103c-4049-a39f-0e1d76dc6000,Robin Engel,True,False,6f51fb8d-103c-4049-a39f-0e1d76dc6000
5818,,nan,na,0,,,False,False,
5819,,nan,https://wexnermedical.osu.edu/find-a-doctor/rochelle-oneil-phd-146347,1,4e5bc76c-0b15-4f57-9b42-d6de4c5e89be,Rochelle O'Neil,True,False,4e5bc76c-0b15-4f57-9b42-d6de4c5e89be
5820,,nan,http://www.osu.edu/map/building.php?building=146,0,,,False,False,
5825,,nan,https://vet.osu.edu/people/roger-fingland,1,76a1cbe9-c015-4b9d-af5c-0007d44bd42e,Roger Fingland,True,False,76a1cbe9-c015-4b9d-af5c-0007d44bd42e
5827,,nan,https://wexnermedical.osu.edu/find-a-doctor/roger-harty-md-97486,1,b7558d7c-076e-42d2-8acf-217e7de49197,Roger Harty,True,False,b7558d7c-076e-42d2-8acf-217e7de49197
5829,,nan,https://vet.osu.edu/people/roger-stradley,1,a0af6063-d6e7-47f5-93be-602b2a19d627,Roger Stradley,True,False,a0af6063-d6e7-47f5-93be-602b2a19d627
5830,,nan,https://glenn.osu.edu/roger-westermeyer,1,a4244e28-685c-4e7f-ac72-ba9b00d62857,Roger Westermeyer,True,False,a4244e28-685c-4e7f-ac72-ba9b00d62857
5836,,nan,https://engineering.osu.edu/people/punyapu.1,1,64dc6dcf-db57-4151-a23d-e8c8bf97dbdf,Rohit Punyapu,True,False,64dc6dcf-db57-4151-a23d-e8c8bf97dbdf
5839,,nan,https://pathology.osu.edu/faculty/barth.html,1,a578c9aa-af00-401f-974e-fe1f61e3fe7e,Rolf F. Barth,True,False,a578c9aa-af00-401f-974e-fe1f61e3fe7e
5843,,nan,https://cph.osu.edu/people/rlanno,1,f9765716-e2b6-405d-ba70-cc77a67ef2c2,Roman Lanno,True,False,f9765716-e2b6-405d-ba70-cc77a67ef2c2
5844,,nan,https://cancer.osu.edu/find-a-doctor/search-physician-directory/roman-skoracki,0,,,False,False,
5848,,nan,na,0,,,False,False,
5851,,nan,https://wexnermedical.osu.edu/find-a-doctor/ronald-harter-md-3384,1,17bb13d7-7054-47b9-928b-26c9f34d9c0f,Ronald Harter,True,False,17bb13d7-7054-47b9-928b-26c9f34d9c0f
5855,,nan,https://vet.osu.edu/people/ronaldo-da-costa,1,6836836a-7dc5-44d6-bede-4e45819a218c,Ronaldo da Costa,True,False,6836836a-7dc5-44d6-bede-4e45819a218c
