file,scholar,num_urls,unique_urls,distinct_domains,categories,accuracy,uniqueness,richness,quantity,overall
luke-shoen-2e4e3ac8.txt,Luke Shoen,5,5,3,faculty_osu:3|academic_profile:1|other:1,8.0,7.6,7.2,7.0,7.5
margaret-beigel-40cc2b73.txt,Margaret Beigel,8,8,7,other:7|faculty_osu:1,8.8,10.0,2.8,8.5,7.5
maya-sivakumaran-e9faeba3.txt,Maya Sivakumaran,7,7,4,faculty_osu:4|other:2|academic_profile:1,7.1,8.8,7.2,7.0,7.5
michael-fleming-81b4cac1.txt,Michael Fleming,8,8,7,other:8,10.0,10.0,1.4,8.5,7.5
michael-wittry-c2b2ff7b.txt,Michael Wittry,6,6,6,other:4|faculty_osu:1|academic_profile:1,6.7,10.0,7.2,7.0,7.5
nil-karacaoglu-8b4a1471.txt,Nil Karacaoglu,6,6,5,academic_profile:3|other:2|faculty_osu:1,6.7,10.0,7.2,7.0,7.5
parker-vaughan-8b047ee4.txt,Parker Vaughan,5,5,3,faculty_osu:3|academic_profile:1|other:1,8.0,7.6,7.2,7.0,7.5
penny-pasque-c2742bdb.txt,Penny Pasque,6,6,6,academic_profile:3|other:2|faculty_osu:1,6.7,10.0,7.2,7.0,7.5
rebecca-gutmann-25533919.txt,Rebecca Gutmann,3,3,3,other:2|academic_profile:1,10.0,7.6,5.8,5,7.5
robert-hood-81975eb7.txt,Robert Hood,6,6,5,academic_profile:3|faculty_osu:2|university:1,6.7,10.0,7.2,7.0,7.5
samantha-bates-615b197c.txt,Samantha Bates,6,6,6,other:3|academic_profile:2|faculty_osu:1,6.7,10.0,7.2,7.0,7.5
sarah-wolff-42cb5913.txt,Sarah Wolff,7,7,4,faculty_osu:4|academic_profile:2|other:1,7.1,8.8,7.2,7.0,7.5
seung-hyun-kim-cabcd949.txt,Seung Hyun Kim,11,11,9,academic_profile:4|publications:3|university:2|faculty_osu:1|other:1,3.6,10.0,10.0,8.5,7.5
snehal-patil-6265ac07.txt,Snehal Patil,6,6,4,faculty_osu:3|academic_profile:3,8.3,8.8,5.8,7.0,7.5
stephen-kolb-94033ea6.txt,Stephen Kolb,6,6,5,faculty_osu:2|academic_profile:2|other:2,6.7,10.0,7.2,7.0,7.5
